Date,Language,Conversions
03/08/2019,Language 15,0
03/08/2019,Language 15,0
03/08/2019,Language 15,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
03/08/2019,Language 16,0
04/08/2019,Language 1,0
04/08/2019,Language 1,0
04/08/2019,Language 2,0
04/08/2019,Language 2,0
04/08/2019,Language 3,0
04/08/2019,Language 3,0
04/08/2019,Language 3,0
04/08/2019,Language 4,0
04/08/2019,Language 4,0
04/08/2019,Language 5,0
04/08/2019,Language 4,0
04/08/2019,Language 4,0
04/08/2019,Language 4,0
04/08/2019,Language 4,0
04/08/2019,Language 5,10
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 5,0
04/08/2019,Language 6,1
04/08/2019,Language 6,1
04/08/2019,Language 6,0
04/08/2019,Language 6,0
04/08/2019,Language 6,0
04/08/2019,Language 6,0
04/08/2019,Language 6,0
04/08/2019,Language 6,0
04/08/2019,Language 6,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,"57,36"
04/08/2019,Language 7,0
04/08/2019,Language 7,"24,83"
04/08/2019,Language 7,"0,67"
04/08/2019,Language 7,1
04/08/2019,Language 7,0
04/08/2019,Language 7,2
04/08/2019,Language 7,1
04/08/2019,Language 7,"1,5"
04/08/2019,Language 7,"7,5"
04/08/2019,Language 7,"13,89"
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,"8,71"
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,6
04/08/2019,Language 7,1
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 7,0
04/08/2019,Language 8,2
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,1
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,2
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 8,0
04/08/2019,Language 9,1
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 9,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,1
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 10,0
04/08/2019,Language 11,0
04/08/2019,Language 11,0
04/08/2019,Language 11,0
04/08/2019,Language 11,0
04/08/2019,Language 11,0
04/08/2019,Language 11,0
04/08/2019,Language 11,0
04/08/2019,Language 12,0
04/08/2019,Language 12,0
04/08/2019,Language 12,0
04/08/2019,Language 12,0
04/08/2019,Language 12,0
04/08/2019,Language 12,0
04/08/2019,Language 12,0
04/08/2019,Language 13,0
04/08/2019,Language 13,0
04/08/2019,Language 13,0
04/08/2019,Language 13,0
04/08/2019,Language 14,2
04/08/2019,Language 14,0
04/08/2019,Language 14,0
04/08/2019,Language 14,0
04/08/2019,Language 14,0
04/08/2019,Language 14,0
04/08/2019,Language 14,0
04/08/2019,Language 14,0
04/08/2019,Language 15,2
04/08/2019,Language 15,0
04/08/2019,Language 15,0
04/08/2019,Language 15,0
04/08/2019,Language 15,0
04/08/2019,Language 15,0
04/08/2019,Language 15,0
04/08/2019,Language 15,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
04/08/2019,Language 16,0
05/08/2019,Language 1,0
05/08/2019,Language 1,0
05/08/2019,Language 2,0
05/08/2019,Language 2,0
05/08/2019,Language 3,0
05/08/2019,Language 3,0
05/08/2019,Language 3,0
05/08/2019,Language 4,0
05/08/2019,Language 4,0
05/08/2019,Language 5,0
05/08/2019,Language 4,0
05/08/2019,Language 4,0
05/08/2019,Language 4,0
05/08/2019,Language 4,0
05/08/2019,Language 5,8
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 5,2
05/08/2019,Language 5,0
05/08/2019,Language 5,0
05/08/2019,Language 6,0
05/08/2019,Language 6,1
05/08/2019,Language 6,0
05/08/2019,Language 6,0
05/08/2019,Language 6,0
05/08/2019,Language 6,0
05/08/2019,Language 6,0
05/08/2019,Language 6,1
05/08/2019,Language 6,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,"95,62"
05/08/2019,Language 7,0
05/08/2019,Language 7,29
05/08/2019,Language 7,"2,62"
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,3
05/08/2019,Language 7,0
05/08/2019,Language 7,"5,13"
05/08/2019,Language 7,1
05/08/2019,Language 7,"9,5"
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,9
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,1
05/08/2019,Language 7,3
05/08/2019,Language 7,2
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 7,0
05/08/2019,Language 8,"7,22"
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,3
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,1
05/08/2019,Language 8,0
05/08/2019,Language 8,1
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 8,0
05/08/2019,Language 9,"0,83"
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 9,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,1
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 10,0
05/08/2019,Language 11,2
05/08/2019,Language 11,0
05/08/2019,Language 11,0
05/08/2019,Language 11,0
05/08/2019,Language 11,0
05/08/2019,Language 11,0
05/08/2019,Language 11,0
05/08/2019,Language 12,0
05/08/2019,Language 12,0
05/08/2019,Language 12,0
05/08/2019,Language 12,0
05/08/2019,Language 12,0
05/08/2019,Language 12,0
05/08/2019,Language 12,0
05/08/2019,Language 13,0
05/08/2019,Language 13,0
05/08/2019,Language 13,1
05/08/2019,Language 13,0
05/08/2019,Language 14,"1,9"
05/08/2019,Language 14,0
05/08/2019,Language 14,0
05/08/2019,Language 14,0
05/08/2019,Language 14,0
05/08/2019,Language 14,0
05/08/2019,Language 14,0
05/08/2019,Language 14,0
05/08/2019,Language 15,1
05/08/2019,Language 15,0
05/08/2019,Language 15,0
05/08/2019,Language 15,0
05/08/2019,Language 15,0
05/08/2019,Language 15,0
05/08/2019,Language 15,0
05/08/2019,Language 15,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
05/08/2019,Language 16,0
06/08/2019,Language 1,0
06/08/2019,Language 1,0
06/08/2019,Language 2,0
06/08/2019,Language 2,0
06/08/2019,Language 3,0
06/08/2019,Language 3,0
06/08/2019,Language 3,0
06/08/2019,Language 4,0
06/08/2019,Language 4,0
06/08/2019,Language 5,0
06/08/2019,Language 4,0
06/08/2019,Language 4,0
06/08/2019,Language 4,0
06/08/2019,Language 4,0
06/08/2019,Language 5,12
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 5,0
06/08/2019,Language 6,0
06/08/2019,Language 6,"0,5"
06/08/2019,Language 6,0
06/08/2019,Language 6,0
06/08/2019,Language 6,0
06/08/2019,Language 6,0
06/08/2019,Language 6,0
06/08/2019,Language 6,1
06/08/2019,Language 6,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,"101,98"
06/08/2019,Language 7,0
06/08/2019,Language 7,"18,25"
06/08/2019,Language 7,0
06/08/2019,Language 7,1
06/08/2019,Language 7,0
06/08/2019,Language 7,1
06/08/2019,Language 7,"0,5"
06/08/2019,Language 7,5
06/08/2019,Language 7,"11,5"
06/08/2019,Language 7,"9,5"
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,"14,29"
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,2
06/08/2019,Language 7,1
06/08/2019,Language 7,"1,4"
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 7,0
06/08/2019,Language 8,"9,53"
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,1
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,1
06/08/2019,Language 8,0
06/08/2019,Language 8,1
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 8,0
06/08/2019,Language 9,"3,5"
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 9,0
06/08/2019,Language 10,3
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 10,0
06/08/2019,Language 11,0
06/08/2019,Language 11,0
06/08/2019,Language 11,0
06/08/2019,Language 11,0
06/08/2019,Language 11,0
06/08/2019,Language 11,0
06/08/2019,Language 11,0
06/08/2019,Language 12,0
06/08/2019,Language 12,0
06/08/2019,Language 12,0
06/08/2019,Language 12,0
06/08/2019,Language 12,0
06/08/2019,Language 12,0
06/08/2019,Language 12,0
06/08/2019,Language 13,4
06/08/2019,Language 13,0
06/08/2019,Language 13,0
06/08/2019,Language 13,0
06/08/2019,Language 14,3
06/08/2019,Language 14,0
06/08/2019,Language 14,0
06/08/2019,Language 14,0
06/08/2019,Language 14,0
06/08/2019,Language 14,0
06/08/2019,Language 14,0
06/08/2019,Language 14,0
06/08/2019,Language 15,2
06/08/2019,Language 15,0
06/08/2019,Language 15,0
06/08/2019,Language 15,0
06/08/2019,Language 15,0
06/08/2019,Language 15,0
06/08/2019,Language 15,0
06/08/2019,Language 15,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
06/08/2019,Language 16,0
07/08/2019,Language 1,0
07/08/2019,Language 1,0
07/08/2019,Language 2,0
07/08/2019,Language 2,0
07/08/2019,Language 3,0
07/08/2019,Language 3,0
07/08/2019,Language 3,0
07/08/2019,Language 4,0
07/08/2019,Language 4,0
07/08/2019,Language 5,0
07/08/2019,Language 4,0
07/08/2019,Language 4,0
07/08/2019,Language 4,0
07/08/2019,Language 4,0
07/08/2019,Language 5,1
07/08/2019,Language 5,0
07/08/2019,Language 5,0
07/08/2019,Language 5,0
07/08/2019,Language 5,0
07/08/2019,Language 5,0
07/08/2019,Language 5,0
07/08/2019,Language 5,0
07/08/2019,Language 5,2
07/08/2019,Language 5,1
07/08/2019,Language 5,0
07/08/2019,Language 6,"4,33"
07/08/2019,Language 6,2
07/08/2019,Language 6,0
07/08/2019,Language 6,0
07/08/2019,Language 6,0
07/08/2019,Language 6,0
07/08/2019,Language 6,0
07/08/2019,Language 6,"3,36"
07/08/2019,Language 6,0
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,"117,8"
07/08/2019,Language 7,0
07/08/2019,Language 7,30
07/08/2019,Language 7,2
07/08/2019,Language 7,4
07/08/2019,Language 7,1
07/08/2019,Language 7,3
07/08/2019,Language 7,1
07/08/2019,Language 7,"5,5"
07/08/2019,Language 7,"7,83"
07/08/2019,Language 7,11
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,13
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,0
07/08/2019,Language 7,"6,25"
07/08/2019,Language 7,1
